<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2014.10.16	09:00:00	55685	55775	55080	55175	45350	12266	5
2014.10.16	09:10:00	55175	55305	55110	55185	27990	7272	5
2014.10.16	09:20:00	55180	55265	54880	54915	35500	10010	5
2014.10.16	09:30:00	54920	55045	54600	54705	39060	11432	5
2014.10.16	09:40:00	54705	54880	54620	54880	36000	10872	5
2014.10.16	09:50:00	54870	55230	54825	55200	33880	9655	5
2014.10.16	10:00:00	55185	55220	55000	55110	46000	11758	5
2014.10.16	10:10:00	55100	55415	54955	55265	49060	11876	5
2014.10.16	10:20:00	55260	55335	55045	55290	42300	10445	5
2014.10.16	10:30:00	55290	55695	55250	55685	81480	19798	5
2014.10.16	10:40:00	55680	55790	55460	55575	81930	19439	5
2014.10.16	10:50:00	55580	56030	55570	56015	60830	14480	5
2014.10.16	11:00:00	56025	56080	55415	55575	87850	21355	5
2014.10.16	11:10:00	55575	55730	55280	55410	69990	17028	5
2014.10.16	11:20:00	55410	56080	55305	55805	124320	22297	5
2014.10.16	11:30:00	55805	55900	55460	55565	70210	16500	5
2014.10.16	11:40:00	55570	55925	55460	55905	64720	15167	5
2014.10.16	11:50:00	55910	55950	55440	55570	70080	16054	5
2014.10.16	12:00:00	55565	55570	55255	55285	73020	16635	5
2014.10.16	12:10:00	55285	55500	55205	55470	46650	11014	5
2014.10.16	12:20:00	55465	55875	55460	55800	60680	13953	5
2014.10.16	12:30:00	55805	55900	55295	55325	76220	17621	5
2014.10.16	12:40:00	55325	55495	55260	55285	55470	12324	5
2014.10.16	12:50:00	55290	55445	55240	55330	41460	9339	5
2014.10.16	13:00:00	55340	55655	55310	55550	38570	8626	5
2014.10.16	13:10:00	55545	55715	55445	55670	36190	8232	5
2014.10.16	13:20:00	55670	55815	55500	55560	33970	7460	5
2014.10.16	13:30:00	55555	55880	55550	55755	32620	7444	5
2014.10.16	13:40:00	55760	55820	55655	55780	29820	7161	5
2014.10.16	13:50:00	55780	55965	55700	55920	24960	5923	5
2014.10.16	14:00:00	55930	56155	55875	56125	37870	9051	5
2014.10.16	14:10:00	56130	56140	55920	55985	37950	9029	5
2014.10.16	14:20:00	55985	56195	55890	56045	41220	10011	5
2014.10.16	14:30:00	56045	56120	55980	56080	30360	7216	5
2014.10.16	14:40:00	56080	56320	56070	56115	40860	9866	5
2014.10.16	14:50:00	56120	56120	55660	55770	64380	14730	5
2014.10.16	15:00:00	55765	55825	55590	55775	47750	10991	5
2014.10.16	15:10:00	55785	55810	55385	55445	58880	14644	5
2014.10.16	15:20:00	55445	55645	55410	55510	35510	8055	5
2014.10.16	15:30:00	55515	55715	55490	55600	35840	8823	5
2014.10.16	15:40:00	55610	55665	55365	55385	36960	8479	5
2014.10.16	15:50:00	55380	55510	55300	55350	41720	9487	5
2014.10.16	16:00:00	55350	55430	55235	55270	38540	8692	5
2014.10.16	16:10:00	55275	55625	55230	55440	39030	9788	5
2014.10.16	16:20:00	55440	55565	55290	55335	37150	8405	5
2014.10.16	16:30:00	55330	55430	55160	55195	36520	9080	5
2014.10.16	16:40:00	55200	55380	55190	55265	31690	7607	5
2014.10.16	16:50:00	55280	55490	55110	55200	31830	9308	5
2014.10.16	17:00:00	55195	55200	55080	55095	18610	6556	5
2014.10.16	17:10:00	55100	55145	54935	54945	15180	4689	5
2014.10.16	17:20:00	54935	54945	54810	54825	10600	3194	5
2014.10.16	17:30:00	54820	54985	54805	54885	12260	3104	5
2014.10.16	17:40:00	54890	54925	54700	54760	9160	2429	5
2014.10.16	17:50:00	54740	54760	54635	54635	6410	3297	5
2014.10.17	09:00:00	55710	56350	55710	56110	17630	4212	5
2014.10.17	09:10:00	56105	56195	56055	56085	13210	3046	5
2014.10.17	09:20:00	56085	56175	55920	56160	23870	5050	5
2014.10.17	09:30:00	56160	56325	56085	56195	28180	6371	5
2014.10.17	09:40:00	56200	56300	56120	56235	15920	3668	5
2014.10.17	09:50:00	56230	56245	56105	56205	12250	2710	5
2014.10.17	10:00:00	56205	56265	56145	56190	17700	4412	5
2014.10.17	10:10:00	56195	56230	55965	56040	36040	8215	5
2014.10.17	10:20:00	56045	56300	55890	56200	45230	10943	5
2014.10.17	10:30:00	56205	56255	55665	55730	66110	14740	5
2014.10.17	10:40:00	55720	56045	55620	55965	64140	14113	5
2014.10.17	10:50:00	55970	56345	55960	56210	52300	11663	5
2014.10.17	11:00:00	56210	56500	56055	56360	75870	17442	5
2014.10.17	11:10:00	56370	56405	56180	56260	38330	8120	5
2014.10.17	11:20:00	56265	56355	56065	56220	50070	11781	5
2014.10.17	11:30:00	56220	56355	56105	56185	39680	9181	5
2014.10.17	11:40:00	56185	56230	56015	56015	31120	6972	5
2014.10.17	11:50:00	56015	56265	56015	56180	32640	8189	5
2014.10.17	12:00:00	56185	56450	56140	56405	45420	11958	5
2014.10.17	12:10:00	56400	56675	56290	56645	55200	13893	5
2014.10.17	12:20:00	56635	56900	56610	56685	65990	15666	5
2014.10.17	12:30:00	56695	56715	56555	56680	36300	8616	5
2014.10.17	12:40:00	56675	56835	56600	56780	29100	6658	5
2014.10.17	12:50:00	56780	56785	56530	56565	23700	5605	5
2014.10.17	13:00:00	56570	56685	56455	56510	27290	6029	5
2014.10.17	13:10:00	56505	56620	56385	56530	24400	5675	5
2014.10.17	13:20:00	56530	56655	56450	56620	17950	4071	5
2014.10.17	13:30:00	56625	56645	56410	56425	19890	4642	5
2014.10.17	13:40:00	56425	56520	56345	56430	24230	5495	5
2014.10.17	13:50:00	56440	56560	56335	56480	25420	5716	5
2014.10.17	14:00:00	56480	56515	56295	56310	21930	5271	5
2014.10.17	14:10:00	56310	56375	56225	56330	18350	4448	5
2014.10.17	14:20:00	56330	56360	56240	56295	18270	4292	5
2014.10.17	14:30:00	56295	56355	56205	56260	21880	5206	5
2014.10.17	14:40:00	56255	56445	56245	56275	29290	7468	5
2014.10.17	14:50:00	56275	56385	56270	56315	16870	4120	5
2014.10.17	15:00:00	56315	56355	55930	55975	47270	11769	5
2014.10.17	15:10:00	55965	56180	55900	56025	40740	9928	5
2014.10.17	15:20:00	56035	56120	55995	56090	22850	5328	5
2014.10.17	15:30:00	56100	56355	56040	56330	39750	10109	5
2014.10.17	15:40:00	56335	56380	56255	56300	25090	6277	5
2014.10.17	15:50:00	56295	56350	56170	56285	23240	5389	5
2014.10.17	16:00:00	56280	56290	56050	56160	26300	6085	5
2014.10.17	16:10:00	56150	56320	56145	56220	22140	5177	5
2014.10.17	16:20:00	56220	56250	56100	56165	23720	5810	5
2014.10.17	16:30:00	56160	56290	56055	56170	25570	6731	5
2014.10.17	16:40:00	56165	56375	56100	56375	27610	6802	5
2014.10.17	16:50:00	56370	56880	56330	56795	72300	23820	5
2014.10.17	17:00:00	56795	56835	56610	56645	28390	9510	5
2014.10.17	17:10:00	56650	56690	56565	56625	12780	4426	5
2014.10.17	17:20:00	56620	56845	56600	56780	13960	3825	5
2014.10.17	17:30:00	56780	56845	56670	56825	9670	2906	5
2014.10.17	17:40:00	56835	56895	56750	56835	9440	2555	5
2014.10.17	17:50:00	56815	56890	56710	56750	5050	2296	5
2014.10.20	09:00:00	55945	56400	55820	56240	1548	4344	5
2014.10.20	09:10:00	56240	56375	56110	56335	1275	3413	5
2014.10.20	09:20:00	56330	56380	56130	56175	1357	3543	5
2014.10.20	09:30:00	56165	56245	56045	56070	1804	4171	5
2014.10.20	09:40:00	56080	56100	55930	55995	1518	4188	5
2014.10.20	09:50:00	56005	56135	55955	56120	1170	2665	5
2014.10.20	10:00:00	56130	56300	56130	56230	2378	5688	5
2014.10.20	10:10:00	56230	56320	55940	56070	3282	7571	5
2014.10.20	10:20:00	56075	56295	56000	56285	2717	6143	5
2014.10.20	10:30:00	56275	56290	56090	56120	2507	5456	5
2014.10.20	10:40:00	56115	56170	55655	55805	5021	11460	5
2014.10.20	10:50:00	55810	55910	55690	55750	3856	8857	5
2014.10.20	11:00:00	55750	55890	55360	55450	7733	18530	5
2014.10.20	11:10:00	55460	55650	55430	55480	3155	7450	5
2014.10.20	11:20:00	55480	55760	55470	55700	2284	5772	5
2014.10.20	11:30:00	55705	55790	55300	55425	6815	15766	5
2014.10.20	11:40:00	55430	55590	55375	55530	4113	9542	5
2014.10.20	11:50:00	55525	55790	55510	55745	3852	8843	5
2014.10.20	12:00:00	55740	55790	55610	55735	3546	8231	5
2014.10.20	12:10:00	55730	55870	55595	55830	4111	9863	5
2014.10.20	12:20:00	55835	55990	55740	55870	4808	12149	5
2014.10.20	12:30:00	55870	55890	55720	55755	2440	6324	5
2014.10.20	12:40:00	55765	55880	55670	55780	2233	5071	5
2014.10.20	12:50:00	55780	55800	55650	55660	1587	3683	5
2014.10.20	13:00:00	55665	55715	55510	55700	2609	6336	5
2014.10.20	13:10:00	55700	55855	55645	55780	2211	5482	5
2014.10.20	13:20:00	55775	55855	55705	55735	1520	3709	5
2014.10.20	13:30:00	55735	55890	55705	55720	2309	5329	5
2014.10.20	13:40:00	55720	55750	55620	55715	2214	5894	5
2014.10.20	13:50:00	55720	55800	55680	55770	1156	2528	5
2014.10.20	14:00:00	55775	55790	55560	55575	2353	5652	5
2014.10.20	14:10:00	55575	55670	55565	55620	1579	3676	5
2014.10.20	14:20:00	55620	55730	55580	55610	1775	4461	5
2014.10.20	14:30:00	55615	55615	55450	55470	2189	5013	5
2014.10.20	14:40:00	55480	55505	55410	55490	1614	3769	5
2014.10.20	14:50:00	55490	55500	55275	55285	2642	6205	5
2014.10.20	15:00:00	55285	55410	55240	55395	2347	5318	5
2014.10.20	15:10:00	55400	55420	55305	55335	1716	3676	5
2014.10.20	15:20:00	55335	55455	55265	55415	2156	4434	5
2014.10.20	15:30:00	55410	55440	55210	55240	2387	5033	5
2014.10.20	15:40:00	55250	55335	55230	55290	1771	4037	5
2014.10.20	15:50:00	55290	55480	55290	55395	2448	5542	5
2014.10.20	16:00:00	55390	55560	55380	55550	2414	5181	5
2014.10.20	16:10:00	55550	55585	55460	55490	1850	4762	5
2014.10.20	16:20:00	55495	55610	55155	55230	5413	13266	5
2014.10.20	16:30:00	55225	55555	55175	55400	4528	10883	5
2014.10.20	16:40:00	55405	55465	55205	55290	2768	6653	5
2014.10.20	16:50:00	55285	55330	55090	55190	3766	10032	5
2014.10.20	17:00:00	55185	55215	55100	55210	2623	8208	5
2014.10.20	17:10:00	55205	55260	55155	55210	1431	3845	5
2014.10.20	17:20:00	55210	55260	55210	55215	796	2185	5
2014.10.20	17:30:00	55225	55255	55015	55055	1581	5003	5
2014.10.20	17:40:00	55060	55250	55015	55235	1043	2983	5
2014.10.20	17:50:00	55250	55575	55230	55535	1068	3401	5
2014.10.21	09:00:00	53300	53470	52905	52990	3613	8305	5
2014.10.21	09:10:00	52980	52985	52830	52890	2236	5826	5
2014.10.21	09:20:00	52890	52940	52800	52890	1549	3635	5
2014.10.21	09:30:00	52895	52920	52750	52770	1478	3620	5
2014.10.21	09:40:00	52760	52835	52650	52745	1951	5028	5
2014.10.21	09:50:00	52745	52820	52725	52765	1504	3856	5
2014.10.21	10:00:00	52760	52950	52745	52945	2915	6980	5
2014.10.21	10:10:00	52940	52955	52660	52710	4076	10001	5
2014.10.21	10:20:00	52705	52935	52605	52855	3234	7846	5
2014.10.21	10:30:00	52865	53010	52815	52960	3349	7959	5
2014.10.21	10:40:00	52955	53075	52950	52990	2554	5846	5
2014.10.21	10:50:00	52985	53150	52970	53080	2311	5372	5
2014.10.21	11:00:00	53080	53145	52945	53050	3415	7943	5
2014.10.21	11:10:00	53040	53095	52910	52980	3002	6867	5
2014.10.21	11:20:00	52975	53130	52885	52945	4463	10743	5
2014.10.21	11:30:00	52950	53340	52940	53280	7822	18086	5
2014.10.21	11:40:00	53280	53630	53245	53540	6416	15054	5
2014.10.21	11:50:00	53540	53665	53510	53595	3470	8067	5
2014.10.21	12:00:00	53595	53740	53520	53630	3901	9538	5
2014.10.21	12:10:00	53635	53720	53440	53530	3621	8790	5
2014.10.21	12:20:00	53530	53595	53430	53570	2541	6234	5
2014.10.21	12:30:00	53565	53715	53465	53710	2837	6310	5
2014.10.21	12:40:00	53700	53945	53680	53920	3913	8909	5
2014.10.21	12:50:00	53920	53980	53770	53810	3667	8502	5
2014.10.21	13:00:00	53815	53860	53640	53710	3712	8976	5
2014.10.21	13:10:00	53710	53720	53565	53650	3027	6518	5
2014.10.21	13:20:00	53645	53715	53615	53685	2141	4822	5
2014.10.21	13:30:00	53680	53770	53655	53680	2377	5385	5
2014.10.21	13:40:00	53675	53855	53660	53785	2621	6055	5
2014.10.21	13:50:00	53785	53810	53545	53580	3302	7667	5
2014.10.21	14:00:00	53585	53630	53410	53470	3523	8242	5
2014.10.21	14:10:00	53480	53505	53325	53405	3112	7376	5
2014.10.21	14:20:00	53405	53575	53275	53315	4560	10614	5
2014.10.21	14:30:00	53310	53380	53260	53310	2859	7142	5
2014.10.21	14:40:00	53310	53320	53155	53180	3800	9472	5
2014.10.21	14:50:00	53180	53205	53060	53155	3441	8774	5
2014.10.21	15:00:00	53140	53145	52930	52980	3209	8378	5
2014.10.21	15:10:00	52985	53020	52900	52970	2086	5268	5
2014.10.21	15:20:00	52965	53095	52965	53040	3112	7824	5
2014.10.21	15:30:00	53040	53180	53010	53175	2365	5591	5
2014.10.21	15:40:00	53165	53225	53105	53125	2559	5984	5
2014.10.21	15:50:00	53135	53160	53025	53140	1876	4393	5
2014.10.21	16:00:00	53130	53175	52910	52945	3417	8382	5
2014.10.21	16:10:00	52945	52985	52845	52895	3017	7479	5
2014.10.21	16:20:00	52900	53025	52900	52985	2027	4907	5
2014.10.21	16:30:00	52985	53025	52825	52885	3303	7815	5
2014.10.21	16:40:00	52885	53145	52880	53090	3121	7313	5
2014.10.21	16:50:00	53090	53315	53025	53135	4243	10924	5
2014.10.21	17:00:00	53125	53310	53055	53285	2050	4915	5
2014.10.21	17:10:00	53300	53395	53070	53255	3349	8661	5
2014.10.21	17:20:00	53255	53475	53255	53420	1939	5307	5
2014.10.21	17:30:00	53430	53545	53350	53385	1927	5372	5
2014.10.21	17:40:00	53385	53395	53255	53310	1049	2762	5
2014.10.21	17:50:00	53310	53325	53215	53260	664	2514	5
2014.10.22	09:00:00	53000	53200	52830	52935	1640	4024	5
2014.10.22	09:10:00	52945	53090	52905	53035	1823	4419	5
2014.10.22	09:20:00	53035	53160	52930	52965	1118	2710	5
2014.10.22	09:30:00	52970	53035	52875	52890	1290	3356	5
2014.10.22	09:40:00	52900	52915	52680	52830	2603	6732	5
2014.10.22	09:50:00	52830	53080	52805	53070	2057	5104	5
2014.10.22	10:00:00	53065	53325	53000	53215	3686	9129	5
2014.10.22	10:10:00	53215	53415	53205	53345	2620	6664	5
2014.10.22	10:20:00	53350	53350	53140	53190	2093	4993	5
2014.10.22	10:30:00	53195	53360	53105	53340	3101	6650	5
2014.10.22	10:40:00	53325	53485	53260	53445	2960	6850	5
2014.10.22	10:50:00	53445	53605	53385	53515	2846	6347	5
2014.10.22	11:00:00	53515	53530	53275	53285	2609	6009	5
2014.10.22	11:10:00	53290	53410	53230	53270	2525	5856	5
2014.10.22	11:20:00	53275	53570	53245	53535	2919	6628	5
2014.10.22	11:30:00	53535	53730	53530	53680	5342	11813	5
2014.10.22	11:40:00	53675	53880	53675	53825	4428	9785	5
2014.10.22	11:50:00	53830	53945	53805	53930	2638	5982	5
2014.10.22	12:00:00	53925	53975	53815	53830	3135	7181	5
2014.10.22	12:10:00	53830	53880	53610	53850	3498	8071	5
2014.10.22	12:20:00	53850	54050	53810	53890	3634	8072	5
2014.10.22	12:30:00	53890	53890	53715	53770	2954	6729	5
2014.10.22	12:40:00	53775	53890	53675	53870	2379	5590	5
2014.10.22	12:50:00	53870	53955	53705	53785	2118	5061	5
2014.10.22	13:00:00	53795	53860	53735	53795	1821	4177	5
2014.10.22	13:10:00	53790	53820	53675	53705	2195	5500	5
2014.10.22	13:20:00	53700	53730	53460	53480	3231	7933	5
2014.10.22	13:30:00	53480	53600	53375	53490	2876	6456	5
2014.10.22	13:40:00	53490	53645	53485	53595	1663	3913	5
2014.10.22	13:50:00	53590	53705	53555	53645	1279	2888	5
2014.10.22	14:00:00	53645	53685	53580	53665	1591	3571	5
2014.10.22	14:10:00	53670	53790	53660	53745	2611	5804	5
2014.10.22	14:20:00	53745	53785	53585	53665	2767	6399	5
2014.10.22	14:30:00	53655	53755	53620	53630	1931	4232	5
2014.10.22	14:40:00	53630	53660	53330	53330	3932	9689	5
2014.10.22	14:50:00	53335	53510	53305	53490	3312	8298	5
2014.10.22	15:00:00	53495	53540	53390	53530	2745	6454	5
2014.10.22	15:10:00	53530	53570	53390	53475	2092	5035	5
2014.10.22	15:20:00	53480	53500	53350	53355	2241	5139	5
2014.10.22	15:30:00	53350	53470	53330	53450	2131	5150	5
2014.10.22	15:40:00	53455	53520	53220	53255	3038	7239	5
2014.10.22	15:50:00	53260	53265	52715	52865	7382	19286	5
2014.10.22	16:00:00	52865	53095	52760	53070	3771	10050	5
2014.10.22	16:10:00	53075	53135	52800	52875	3920	10503	5
2014.10.22	16:20:00	52870	52960	52820	52940	2547	6597	5
2014.10.22	16:30:00	52935	53085	52890	53060	2287	5343	5
2014.10.22	16:40:00	53060	53260	53050	53235	3156	8063	5
2014.10.22	16:50:00	53220	53385	53175	53355	3000	8459	5
2014.10.22	17:00:00	53345	53350	53095	53175	2787	7379	5
2014.10.22	17:10:00	53165	53245	53080	53115	1600	4260	5
2014.10.22	17:20:00	53115	53200	53110	53180	1066	2518	5
2014.10.22	17:30:00	53185	53195	52910	52935	2009	5738	5
2014.10.22	17:40:00	52935	53035	52890	52895	993	2757	5
2014.10.22	17:50:00	52890	52955	52855	52905	737	3284	5
2014.10.23	09:00:00	52450	52510	52260	52375	1910	4623	5
2014.10.23	09:10:00	52380	52605	52355	52525	1580	3868	5
2014.10.23	09:20:00	52525	52605	52440	52480	1426	3132	5
2014.10.23	09:30:00	52490	52590	52420	52575	1427	3400	5
2014.10.23	09:40:00	52570	52640	52450	52485	2002	4808	5
2014.10.23	09:50:00	52485	52550	52405	52515	1607	4001	5
2014.10.23	10:00:00	52520	52635	52455	52490	2626	6734	5
2014.10.23	10:10:00	52485	52530	51850	52095	6818	17825	5
2014.10.23	10:20:00	52090	52150	51880	51900	2980	7776	5
2014.10.23	10:30:00	51900	52020	51775	51850	4559	10983	5
2014.10.23	10:40:00	51835	51885	51710	51805	3447	8075	5
2014.10.23	10:50:00	51805	51975	51775	51920	2873	6732	5
2014.10.23	11:00:00	51915	51945	51800	51840	2710	5888	5
2014.10.23	11:10:00	51850	51990	51845	51940	1876	4382	5
2014.10.23	11:20:00	51945	52095	51895	52070	2559	6403	5
2014.10.23	11:30:00	52070	52300	51925	52260	5600	13895	5
2014.10.23	11:40:00	52260	52325	52095	52125	3891	8803	5
2014.10.23	11:50:00	52120	52265	52100	52250	2176	4664	5
2014.10.23	12:00:00	52250	52465	52225	52305	4550	10856	5
2014.10.23	12:10:00	52310	52345	52115	52150	3470	8737	5
2014.10.23	12:20:00	52150	52325	52115	52135	3235	7424	5
2014.10.23	12:30:00	52140	52205	52060	52150	2681	6517	5
2014.10.23	12:40:00	52150	52320	52135	52280	2332	5726	5
2014.10.23	12:50:00	52290	52295	52010	52030	2732	6207	5
2014.10.23	13:00:00	52035	52100	51910	52050	3128	7580	5
2014.10.23	13:10:00	52050	52130	51950	52060	2438	5803	5
2014.10.23	13:20:00	52050	52075	51830	51840	2986	7544	5
2014.10.23	13:30:00	51845	51850	51630	51695	3897	10009	5
2014.10.23	13:40:00	51695	51775	51600	51655	2405	5478	5
2014.10.23	13:50:00	51665	51870	51655	51745	2918	6296	5
2014.10.23	14:00:00	51735	51780	51615	51735	2273	5328	5
2014.10.23	14:10:00	51740	51860	51725	51805	2119	4904	5
2014.10.23	14:20:00	51805	51905	51535	51680	3955	9446	5
2014.10.23	14:30:00	51675	51675	51320	51395	4293	10176	5
2014.10.23	14:40:00	51385	51535	51305	51500	3392	8402	5
2014.10.23	14:50:00	51500	51600	51460	51565	2824	6981	5
2014.10.23	15:00:00	51565	51620	51530	51585	1719	4016	5
2014.10.23	15:10:00	51590	51620	51460	51555	2285	5473	5
2014.10.23	15:20:00	51555	51725	51535	51715	2169	5187	5
2014.10.23	15:30:00	51710	51775	51665	51740	1718	3941	5
2014.10.23	15:40:00	51740	51800	51675	51760	2024	4834	5
2014.10.23	15:50:00	51765	51795	51650	51760	2344	5564	5
2014.10.23	16:00:00	51760	51850	51615	51800	4365	10946	5
2014.10.23	16:10:00	51800	51915	51670	51735	4357	10715	5
2014.10.23	16:20:00	51740	51755	51670	51715	1652	4057	5
2014.10.23	16:30:00	51720	51720	51480	51500	3777	8991	5
2014.10.23	16:40:00	51500	51835	51370	51815	6192	15027	5
2014.10.23	16:50:00	51810	51825	50800	51155	11490	28215	5
2014.10.23	17:00:00	51160	51295	50490	51255	10612	25613	5
2014.10.23	17:10:00	51250	51420	51150	51300	4193	9869	5
2014.10.23	17:20:00	51290	51360	51140	51330	2839	7328	5
2014.10.23	17:30:00	51330	51495	51280	51390	2768	6860	5
2014.10.23	17:40:00	51385	51475	51290	51300	1268	3447	5
2014.10.23	17:50:00	51290	51330	51110	51110	673	2596	5
2014.10.24	09:00:00	51480	52380	51360	51545	4098	10971	5
2014.10.24	09:10:00	51530	51745	51245	51495	3348	9321	5
2014.10.24	09:20:00	51485	51640	51400	51500	1008	2754	5
2014.10.24	09:30:00	51495	51615	51215	51240	1944	4874	5
2014.10.24	09:40:00	51245	51420	51130	51360	1625	3792	5
2014.10.24	09:50:00	51365	51715	51365	51585	2217	5714	5
2014.10.24	10:00:00	51590	51670	51260	51340	2679	7053	5
2014.10.24	10:10:00	51345	51510	51185	51485	3323	8409	5
2014.10.24	10:20:00	51480	51670	51415	51635	2079	4810	5
2014.10.24	10:30:00	51635	51860	51630	51740	3775	9046	5
2014.10.24	10:40:00	51740	51895	51605	51895	3253	7551	5
2014.10.24	10:50:00	51895	51915	51760	51895	2492	6078	5
2014.10.24	11:00:00	51900	51900	51740	51830	2372	5695	5
2014.10.24	11:10:00	51835	52055	51800	51930	3003	7632	5
2014.10.24	11:20:00	51935	52050	51910	52010	1902	4690	5
2014.10.24	11:30:00	52015	52260	51930	52200	5540	13865	5
2014.10.24	11:40:00	52205	52430	52135	52410	3540	9433	5
2014.10.24	11:50:00	52410	52775	52390	52570	4496	12066	5
2014.10.24	12:00:00	52570	53000	52535	52905	6213	16060	5
2014.10.24	12:10:00	52915	53030	52760	52785	5337	13174	5
2014.10.24	12:20:00	52785	53320	52775	53280	5651	13896	5
2014.10.24	12:30:00	53290	53480	53170	53210	5208	13401	5
2014.10.24	12:40:00	53205	53420	53115	53150	3914	9960	5
2014.10.24	12:50:00	53150	53255	53010	53220	3580	9471	5
2014.10.24	13:00:00	53225	53340	53115	53175	3216	8569	5
2014.10.24	13:10:00	53180	53260	53085	53205	1726	4498	5
2014.10.24	13:20:00	53205	53365	53200	53335	1905	5119	5
2014.10.24	13:30:00	53330	53420	53250	53400	1798	5274	5
2014.10.24	13:40:00	53405	53640	53370	53615	2548	7949	5
2014.10.24	13:50:00	53610	53795	53570	53750	2926	9247	5
2014.10.24	14:00:00	53745	53865	53630	53700	2729	7649	5
2014.10.24	14:10:00	53710	53905	53670	53760	2971	7586	5
2014.10.24	14:20:00	53770	53770	53455	53470	3518	8311	5
2014.10.24	14:30:00	53475	53500	53200	53250	4885	11474	5
2014.10.24	14:40:00	53260	53400	53110	53365	3488	8597	5
2014.10.24	14:50:00	53370	53405	53180	53380	3075	7262	5
2014.10.24	15:00:00	53385	53460	53105	53160	4449	10591	5
2014.10.24	15:10:00	53160	53270	52890	53085	5344	12647	5
2014.10.24	15:20:00	53080	53250	52950	53130	3757	8952	5
2014.10.24	15:30:00	53140	53225	53035	53145	3164	7687	5
2014.10.24	15:40:00	53140	53200	53040	53150	1888	4442	5
2014.10.24	15:50:00	53155	53345	53155	53310	3092	7713	5
2014.10.24	16:00:00	53305	53325	52960	53180	4150	10083	5
2014.10.24	16:10:00	53175	53245	52845	52880	3661	8755	5
2014.10.24	16:20:00	52875	52875	52455	52470	8111	20261	5
2014.10.24	16:30:00	52465	52500	51965	52210	9435	24791	5
2014.10.24	16:40:00	52205	52440	52205	52390	4538	10908	5
2014.10.24	16:50:00	52390	52600	51860	52365	5927	15657	5
2014.10.24	17:00:00	52360	52660	52350	52615	2993	8389	5
2014.10.24	17:10:00	52615	52630	52305	52410	3015	7271	5
2014.10.24	17:20:00	52410	52750	52410	52695	2157	5308	5
2014.10.24	17:30:00	52695	52780	52515	52640	1859	4553	5
2014.10.24	17:40:00	52615	52870	52580	52795	1260	3565	5
2014.10.24	17:50:00	52825	52865	52200	52200	804	4482	5
2014.10.27	09:00:00	48280	49150	48235	49090	2249	6701	5
2014.10.27	09:10:00	49100	49215	48605	48845	3541	9408	5
2014.10.27	09:20:00	48865	48915	48460	48515	2639	7446	5
2014.10.27	09:30:00	48520	48750	48285	48330	2929	8408	5
2014.10.27	09:40:00	48345	48405	48140	48370	2225	6625	5
2014.10.27	09:50:00	48370	48600	48345	48435	1891	5202	5
2014.10.27	10:00:00	48420	48470	48250	48360	1635	4616	5
2014.10.27	10:10:00	48350	48815	48350	48445	3991	11681	5
2014.10.27	10:20:00	48445	49285	48350	49245	7953	21782	5
2014.10.27	10:30:00	49255	49965	49255	49735	6339	32682	5
2014.10.27	10:40:00	49735	49870	49510	49860	5305	22195	5
2014.10.27	10:50:00	49855	50045	49750	49895	3947	11407	5
2014.10.27	11:00:00	49885	50100	49860	49985	3067	7964	5
2014.10.27	11:10:00	49965	49980	49590	49790	5380	12700	5
2014.10.27	11:20:00	49790	50000	49675	49870	3925	9402	5
2014.10.27	11:30:00	49880	50205	49775	50135	8870	21702	5
2014.10.27	11:40:00	50135	50300	49845	49915	4475	10975	5
2014.10.27	11:50:00	49910	50195	49905	50135	4209	9576	5
2014.10.27	12:00:00	50145	50470	50055	50460	4642	12181	5
2014.10.27	12:10:00	50460	50535	50250	50265	3462	8769	5
2014.10.27	12:20:00	50255	50295	50030	50085	3420	8364	5
2014.10.27	12:30:00	50095	50145	49925	49960	2660	6420	5
2014.10.27	12:40:00	49965	50050	49900	49930	2193	5580	5
2014.10.27	12:50:00	49940	50310	49930	50310	2891	7051	5
2014.10.27	13:00:00	50305	50455	50200	50405	2787	7069	5
2014.10.27	13:10:00	50415	50490	50285	50300	2866	7553	5
2014.10.27	13:20:00	50305	50340	50240	50280	2273	5539	5
2014.10.27	13:30:00	50285	50420	50285	50400	1703	4488	5
2014.10.27	13:40:00	50405	50515	50390	50460	1986	4897	5
2014.10.27	13:50:00	50460	50595	50280	50495	3457	8725	5
2014.10.27	14:00:00	50485	50590	50460	50470	2364	6114	5
2014.10.27	14:10:00	50485	50785	50475	50715	2586	7022	5
2014.10.27	14:20:00	50720	50720	50630	50680	1462	4076	5
2014.10.27	14:30:00	50690	50720	50550	50555	1870	4832	5
2014.10.27	14:40:00	50550	50580	50350	50400	4031	9947	5
2014.10.27	14:50:00	50395	50675	50390	50630	2665	6383	5
2014.10.27	15:00:00	50620	50900	50595	50860	4328	11497	5
2014.10.27	15:10:00	50865	51135	50830	51045	4360	12561	5
2014.10.27	15:20:00	51045	51275	50965	51070	3886	10876	5
2014.10.27	15:30:00	51065	51405	51060	51345	3857	10477	5
2014.10.27	15:40:00	51350	51510	51315	51360	3929	10500	5
2014.10.27	15:50:00	51365	51365	50865	51215	5378	14508	5
2014.10.27	16:00:00	51210	51290	51045	51120	3497	9277	5
2014.10.27	16:10:00	51125	51220	50955	51200	2944	7473	5
